date,Year ,Month ,Total_Renewable_Energy_Consumption,Hydro_Consumption,Biofuelss_consumption,Geothermal_consumption,Solar_Energy_consumption,Biomas_consumption,Waste_energy_consumption,Wind_Energy_consumption,Wood_energy_consumption,Total_Renewable_Energy_Production ,Biofuel_production,Biomass_production,Wood_Energy_production,CPU_INDEX,Industrial_production ,WTI_Crud_OIL_Price,Producer_price_Index 
36526,2000,1,505.525,258.518,19.713,14.724,3.259,222.442,42.021,6.583,160.708,505.15,19.339,222.067,160.708,28.98,91.7942,27.26,128.3
36557,2000,2,498.995,229.354,17.294,13.606,3.628,245.205,42.652,7.201,185.259,499.959,18.258,246.169,185.259,20.92,92.1272,29.37,129.8
36586,2000,3,558.477,272.397,19.973,13.848,4.981,263.681,47.994,3.571,195.714,558.005,19.502,263.209,195.714,16.26,92.4733,29.84,130.8
36617,2000,4,567.151,290.623,18.611,14.367,5.558,253.235,47.555,3.367,187.07,568.524,19.985,254.609,187.07,1.23,93.0619,25.72,130.7
36647,2000,5,558.828,279.719,20.077,13.885,6.279,254.782,50.694,4.163,184.011,558.724,19.973,254.678,184.011,8.72,93.3427,28.79,131.6
36678,2000,6,507.747,256.913,16.306,13.563,6.366,226.346,42.314,4.56,167.726,509.114,17.673,227.712,167.726,59.04,93.3908,31.82,133.8
36708,2000,7,525.596,246.155,19.246,13.983,6.901,254.682,44.131,3.876,191.305,526.262,19.912,255.348,191.305,14.59,93.204,29.7,133.7
36739,2000,8,505.427,224.228,19.402,14.003,6.674,256.683,42.649,3.84,194.632,503.686,17.661,254.942,194.632,40.22,92.9637,31.26,132.9
36770,2000,9,443.553,181.584,18.906,11.971,6.099,240.508,40.838,3.391,180.764,443.376,18.729,240.331,180.764,31.25,93.3533,33.88,134.7
36800,2000,10,469.436,175.315,21.918,12.837,5.395,271.693,43.633,4.197,206.142,468.215,20.697,270.472,206.142,12.49,93.0019,33.11,135.4
36831,2000,11,484.43,195.459,21.464,13.383,4.293,262.899,40.632,8.396,200.803,482.866,19.9,261.335,200.803,33.07,93.0137,34.42,135
36861,2000,12,479.069,200.852,22.801,14.194,4.038,256.071,25.688,3.914,207.582,477.785,21.518,254.788,207.582,34.53,92.7388,28.44,136.2
36892,2001,1,447.071,194.798,23.739,14.612,3.104,230.534,30.814,4.022,175.982,444.97,21.638,228.434,175.982,88.51,92.2054,29.59,140
36923,2001,2,404.482,180.547,20.084,12.812,3.404,203.263,27.21,4.456,155.969,404.069,19.67,202.849,155.969,47.68,91.5813,29.61,137.4
36951,2001,3,456.138,211.591,21.55,14.206,4.837,220.006,30.317,5.498,168.14,455.78,21.192,219.649,168.14,81.74,91.3567,27.25,135.9
36982,2001,4,424.538,186.128,18.71,13.162,5.372,212.8,30.118,7.075,163.973,425.366,19.537,213.628,163.973,88.29,91.072,27.49,136.4
37012,2001,5,434.871,198.142,19.576,12.98,6.326,210.861,29.828,6.562,161.457,435.516,20.222,211.506,161.457,111.62,90.5335,28.63,136.8
37043,2001,6,451.264,214.179,16.692,13.088,6.48,210.598,30.134,6.919,163.772,454.616,20.044,213.95,163.772,207.95,90.0322,27.6,135.5
37073,2001,7,438.441,186.812,23.398,14.087,6.764,224.217,31.398,6.561,169.421,436.066,21.023,221.842,169.421,100.06,89.4778,26.43,133.4
37104,2001,8,445.558,195.436,18.938,13.97,6.635,223.552,31.258,5.964,173.357,447.902,21.283,225.897,173.357,19.12,89.3838,27.37,133.4
37135,2001,9,395.833,157.641,20.372,13.617,5.917,213.593,29.555,5.066,163.666,396.469,21.008,214.229,163.666,29.34,88.9262,26.2,133.3
37165,2001,10,412.275,157.418,25.014,13.913,4.998,229.675,30.481,6.27,174.181,409.918,22.657,227.319,174.181,5.02,88.6365,22.17,130.3
