Year ,Tourism_Total,Accommodation,Transportation,Passenger_air_Transp,Other_trans_related,Food _beverage_service,Rec_Entert_Shopp,Rec_Entert ,Shopping,EPU_3CAT,EPU_NEWS,WUI,GDP,Unemployment ,FDI ,FDI(Miilions),Investment ,InvetsmentBillion ,INDPRO,Real Broad Effective Exchange Rate ,GDPPERCAP,Travel Cost 
1998Q1,687842.69,121730.67,292282.63,127779.9,164383.34,107789.49,168503.37,71225.25,96934.94,86.08,97.48,0.182,11832.486,4.63,79036,79036000000,116.0427,1.16E+11,151.23,116.31,43035,205.8
1998Q2,696098.33,120978.34,299064.46,133076.92,166035.52,109667.45,169306.11,70889.17,97988.35,75.11,78.49,0.066,11942.032,4.4,81564,81564000000,121.1585,1.21E+11,152.03,116.59,43315,205.3333333
1998Q3,700313.03,120012.48,301844.53,135009.1,166937.09,110616.18,170862.59,72301.55,98222.69,104.52,133.64,0.192,12091.614,4.53,93960,93960000000,126.2479,1.26E+11,152.33,119.78,43721,207.0333333
1998Q4,709799.24,120872.1,306940.65,135911.92,171033.13,112719.34,172515.04,73116.55,99071.07,98.08,123.14,0,12287,4.43,461620,4.62E+11,131.3108,1.31E+11,154.6,114.95,44293,202.9333333
1999Q1,717056.78,123124.83,310293.03,136935.15,173337.28,112416.95,174442.12,73829.45,100269.31,82.34,95.12,0.115,12403.293,4.3,115036,1.15E+11,139.8794,1.40E+11,157.57,115.46,44600,213.0333333
1999Q2,716369.04,121122.01,307207.31,133017.56,174050.45,113906.45,176974.33,76009.18,100741.74,69.21,69.83,0.12,12498.694,4.27,562804,5.63E+11,143.4766,1.43E+11,160.3,116.47,44820,218.5666667
1999Q3,723366,123734.4,307239,134166.77,172992.59,114120.36,180675.29,78696.21,101867.96,73.06,80.35,0,12662.385,4.23,202576,2.03E+11,145.6346,1.46E+11,161.87,116.05,45263,218.0333333
1999Q4,735971.28,126014.08,309480.93,133398.66,175930.88,116985.06,185618.9,80170.58,105266.06,76.19,73.66,0,12877.593,4.07,276004,2.76E+11,146.3534,1.46E+11,164.87,114.75,45894,225.4
2000Q1,733927.68,128367.46,302003.8,131065.23,170808.47,118625.63,186607.07,79755.66,106589.38,81.45,78.55,0,12924.179,4.03,207400,2.07E+11,140.9548,1.41E+11,178.77,115.88,45944,230.9
2000Q2,739332.24,133068.88,299120.78,129366.64,169624.84,118162.13,190271.69,80703.46,109246.14,89,99.44,0,13160.842,3.93,365568,3.66E+11,140.6662,1.41E+11,184.27,118.99,46669,241.9333333
