quarters,cpiusa,impu,imfear,travelcost,cpimex,exrmex,repexmex,industpromex,cpicad,exrcad,exruk,cpiuk,repexcad,industprocad,arrivalcad,arrivalmex,cpifra,exrfra,cpiitaly,exritaly,cpiportugal,exrportugal,cpispain,exrspain,spexr,cpimexxexmex,cpiukxexeruk,spexrmexuk,lnimpu,lnimfear,lntravelcost,lnrepexmex,lnindustpromex,lnrepexcad,lnindustprocad,lnarrivalcad,lnarrivalmex,lnspexr,lnspexrmexuk,year
1996Q1,65.39615631,135.4700012,103.1699982,144.6999969,27.22999954,0.132978722,18.05999947,69.90000153,70.97000122,0.729927003,1.530511022,67.66699982,1.261999965,79.23999786,3398967,251254,76.32666779,0.767662108,68.46990967,0.812770128,65.50069427,0.759884655,64.10903931,0.743519068,1.23573947,3.621010542,103.5645981,53.59280396,4.908750057,4.636378288,4.974662781,2.893699408,4.247065544,0.23269774,4.372481346,15.03898239,12.43421936,0.211669549,3.981414795,01/01/1996
1996Q2,66.04308319,93.43000031,102.2600021,147.5700073,29.12999916,0.13351135,16.9810009,71.34999847,71.66000366,0.735294104,1.52374804,68.53299713,1.253000021,78.37000275,3745274,303331,76.91666412,0.786352336,69.22402954,0.80323869,66.46768188,0.780114114,64.8144455,0.767028868,1.213726282,3.889185429,104.4275589,54.15837097,4.537212372,4.627518654,4.99430275,2.832095146,4.267597198,0.225540698,4.361441135,15.1360054,12.62257957,0.193695202,3.991912603,01/04/1996
1996Q3,66.39467621,131.9199982,114.2699966,149.5299988,30.46999931,0.132275134,16.47299957,72.16999817,71.66000366,0.729927003,1.553894997,68.66699982,1.269000053,76.12999725,5188882,391543,76.74666595,0.776560068,69.401474,0.785636187,66.75662231,0.765998602,65.11463165,0.760667741,1.2364645,4.030423164,106.7008133,55.36561584,4.882195473,4.738564014,5.007496834,2.801722765,4.279024601,0.23822923,4.332442284,15.46202946,12.87785053,0.212256104,4.013958931,01/07/1996
1996Q4,66.87284088,101.8300018,109.1699982,150.5700073,31.96999931,0.127551019,16.39900017,74.59999847,72.01000214,0.740740716,1.635893941,69.23300171,1.253999949,79.51999664,2967667,390500,77.05666351,0.78902024,69.73416901,0.786018312,66.8730545,0.770855725,65.43822479,0.774494469,1.227910995,4.077805996,113.2583618,58.66808319,4.623304844,4.69290638,5.014428139,2.797220469,4.312140465,0.226338401,4.376008511,14.90328693,12.87518311,0.205314353,4.071896076,01/10/1996
1997Q1,67.32287598,72.59999847,95.68000031,157.3000031,34.16999817,0.127064809,15.50599957,74.80999756,72.22000122,0.735294104,1.63141799,69.30000305,1.268000007,82.43000031,3374847,362489,77.4366684,0.853038669,70.17777252,0.846355021,67.44728088,0.829312861,65.74022675,0.842339277,1.137392044,4.341804504,113.0572662,58.69953537,4.284965038,4.561009407,5.05815506,2.741226912,4.31495142,0.237440854,4.411949635,15.03186035,12.80074978,0.128737956,4.072432041,01/01/1997
1997Q2,67.59008789,102.2799988,101.5500031,153.8300018,35.34000015,0.12626262,15.14799976,77.33000183,72.65000153,0.719424486,1.635357976,69.93299866,1.292999983,83.01999664,3721332,794947,77.62666321,0.881114662,70.53265381,0.873099804,67.86724854,0.860065579,65.83418274,0.870119095,1.100663781,4.46212101,114.3660202,59.41407013,4.627714157,4.620551109,5.035848141,2.717868567,4.348082066,0.256965101,4.419081688,15.12959194,13.58603096,0.095913433,4.084531307,01/04/1997
1997Q3,67.8572998,105.6500015,98.20999908,152.8999939,36.33000183,0.128040969,14.5880003,78.86000061,72.69999695,0.719424486,1.625424981,70.26699829,1.297000051,80.98000336,5071928,1023715,77.73000336,0.928124845,70.66573334,0.910459876,68.10643005,0.912514865,66.28890991,0.916179657,1.046525836,4.65172863,114.2131958,59.43246078,4.660131931,4.587108135,5.029784203,2.680199385,4.367674351,0.260053933,4.394202232,15.43923187,13.83894825,0.045475952,4.084840775,01/07/1997
1997Q4,68.12451172,32.68000031,78.83999634,151.7299957,37.47999954,0.123456791,14.72299957,80.18000031,72.68000031,0.709219873,1.658707976,70.63300323,1.322000027,84.51999664,2962066,706401,77.94999695,0.897294581,71.10933685,0.887696803,68.38375854,0.892891467,66.72750092,0.891183376,1.074547291,4.627160549,117.16008,60.89361954,3.486763239,4.367420673,5.022102833,2.689410925,4.384274006,0.279145747,4.436988354,14.90139771,13.46793842,0.071899451,4.109128475,01/10/1997
1998Q1,68.3073349,48.36000061,76.01000214,151.2299957,39.40000153,0.118623957,14.61499977,81.94999695,73.48000336,0.699300706,1.646510005,70.59999847,1.328999996,86.58999634,3040281,615244,78.01667023,0.929349542,71.59729767,0.924725831,68.71515656,0.928037405,66.95350647,0.926514626,1.032939672,4.673784256,116.2435913,60.45869064,3.878673077,4.330864906,5.018801689,2.682048321,4.406109333,0.284426779,4.461184502,14.92746067,13.3297739,0.032408789,4.101960182,01/01/1998
1998Q2,68.67298889,66.98999786,80.73999786,152.0299988,40.68000031,0.115340263,14.63599968,82.48999786,73.73999786,0.689655185,1.654109001,71.36699677,1.350000024,85.93000031,3531027,917184,78.39333344,0.916863978,71.9743576,0.91343832,69.63769531,0.915769815,67.16082764,0.915167749,1.04502964,4.692041874,118.0482712,61.37015533,4.204543114,4.391233921,5.024077892,2.683484316,4.412676811,0.300104618,4.453533173,15.07709885,13.72906303,0.044045247,4.116923809,01/04/1998
1998Q3,68.94020081,61.93000031,79.98000336,152.3300018,42,0.105263159,15.59399986,82.48999786,73.72000122,0.662251651,1.653082967,71.43299866,1.411999941,82.59999847,4165621,1055230,78.20333099,0.900836468,72.10743713,0.898682177,69.96676636,0.900208831,67.60430908,0.899605751,1.064499736,4.421052933,118.0852356,61.25314331,4.126004696,4.38177681,5.026049137,2.746886253,4.412676811,0.345007092,4.414009571,15.24237633,13.86926937,0.062504955,4.11501503,01/07/1998
1998Q4,69.17928314,60.99000168,80.41999817,154.6000061,44.06000137,0.099900097,15.71700001,82.88999939,73.84999847,0.649350643,1.675820947,71.83300018,1.442999959,86.51999664,2684903,784222,78.15333557,0.850375891,72.32923889,0.850246966,70.47796631,0.850304425,67.7256546,0.849854767,1.127423167,4.401598454,120.3798065,62.39070129,4.110710144,4.387262821,5.040841103,2.754742861,4.417514324,0.366724253,4.460375786,14.80315495,13.57244778,0.119934648,4.133416176,01/10/1998
1999Q1,69.44649506,56.97999954,91.16999817,157.5700073,46.72999954,0.100502513,14.7869997,83.70999908,74.08999634,0.662251651,1.632143974,72,1.414999962,90.19999695,2881905,704109,78.21666718,0.890865028,72.59540558,0.890865028,70.64183807,0.890865028,68.20632172,0.890865028,1.076488853,4.696482182,117.514389,61.10543442,4.042700291,4.51272583,5.059869766,2.693748474,4.427358627,0.347129494,4.502029419,14.8739624,13.4646883,0.073704682,4.112600803,01/01/1999
1999Q2,70.12155151,99.23000336,196.8899994,160.3000031,47.95000076,0.105932213,13.80500031,83.34999847,74.80999756,0.680272102,1.606145024,72.69999695,1.378000021,90.30999756,3525324,840084,78.69333649,0.946297407,73.01682281,0.946297407,71.39420319,0.946297407,68.6764679,0.946297407,1.015844226,5.079449654,116.7667618,60.92310715,4.597440243,5.282645226,5.077046871,2.625030756,4.423048496,0.320633173,4.503248215,15.07548332,13.64125729,0.015720017,4.109612465,01/04/1999
